,title,size,price,nbrhood
0,"Top Floors of Beautiful House, Dog Friendly, Fenced Yard, Nov 1st",3br-1166ft-,1098, Regent Square - Frick Park
1,Newly Remodeled Apartment with Private Yard,2br-1400ft-,1175,
2,Completely Renovated 3-Bedrooom in Highland Park/Morningside,3br-,1190, Stanton Ave
3,Beautiful 1-Bedroom Apartment,1br-,650," 25 W Chestnut St, Washington PA"
4,3BR Townhouse in Squirrel Hill South - 2324 Murray Ave  - $1395,3br-1558ft-,1395, 2324 Murray Ave
5,One bedroom Apartment,1br-,400, Springdale
6,++ FIXER UPPER HOME AVAILABLE & IS 1352 SQUARE FEET ++,3br-,513,
7,"****Washer & Dryer Included, Stainless Steel Appliances, Dog Park****",2br-1050ft-,1360, Moon Township
8,New Pet Spa: Perfect for You and Your Furbaby,2br-860ft-,1295,
9,"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard",2br-1073ft-,1075, Regent Square - Frick Park
10,2BR House in Mt. Oliver - 109 Frederick St  - $900,2br-,900, 109 Frederick St
11,Newly updated Home Available in Butler~ Call NOW,3br-,825,
12,"Premium Single Bedroom, Near Shops & Restaurants, Dog Friendly, Oct 1",1br-700ft-,859, Regent Square - Frick Park
13,"1 bedroom - Expansive Windows, Microwave, Demonstration Kitchen",1br-766ft-,1545,
14,"Stainless Steel Appliances, Phones Answered 24 Hours a Day, Backsplash",2br-1000ft-,1650,
15,2BR Apartment - 3408 Parkview Ave Unit 212 - $950,2br-,950, 3408 Parkview Ave Unit 212
16,4BR House in Hazelwood - 137 Johnston Ave  - $1200,4br-2540ft-,1200, 137 Johnston Ave
17,"Premium Single Bedroom, Near Shops & Restaurants, Dog Friendly, Oct 1",1br-700ft-,859, Regent Square - Frick Park
18,"*****Resort Style Swimming Pool, Fireplace, Patios*****",2br-1050ft-,1360, Moon Township
19,"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard",2br-1073ft-,1075, Regent Square - Frick Park
20,AFFORDABLE TWO BEDROOM GREENSBURG,2br-,575, 405 Oakland Ave
21,3br&1ba unit in a duplex in Oakland,3br-,1300, Oakland
22,3br&1ba unit in a duplex in Mt. Lebanon,3br-,1150, Mt. Lebanon
23,"****Vinyl Plank Hardwood Flooring, Washer & Dryer Included, Patios****",2br-1050ft-,1360, Moon Township
24,Ask about our Move in Special!!  Newly Renovated and Pet Friendly!!,1br-640ft-,1045, Bethel Park
25,3BR Apartment in Bloomfield - 352 S Pacific Ave Unit 1 - $2100,3br-,2100, 352 S Pacific Ave Unit 1
26,"**Decorative Fireplace, Granite Countertops, Fully Equipped Kitchen**",2br-825ft-,1245, Moon Township
27,2BR House in Swissvale - 2243 Manor Ave  - $900,2br-,900, 2243 Manor Ave
28,++ FIXER UPPER HOME AVAILABLE & IS 1352 SQUARE FEET ++,3br-,513,
29,1BR Apartment in Bellevue - 441 Teece Ave Unit 2 - $695,1br-,695, 441 Teece Ave Unit 2
30,Rare opportunity for a fully detached view home.,3br-,500, pittsburgh
31,3BR/2BA home for rent,3br-,500, pittsburgh
32,3BR Townhouse in South Side Slopes - 2619 Josephine St  - $1650,3br-1360ft-,1650, 2619 Josephine St
33,"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard",2br-1073ft-,1075, Regent Square - Frick Park
34,"Zipcar Onsite, Lots of Closet Space, Off Street Parking (fees apply)",2br-,950,
35,"*****Fireplace, Resort Style Swimming Pool, Patios******",2br-1050ft-,1360, Moon Township
36,"Bike share onsite, Phones Answered 24 Hours a Day, Zipcar Onsite",3br-,1295,
37,"14-foot ceilings, Air Conditioning, Upgraded Apartments, Elevator",1br-735ft-,1378, Pittsburgh
38,Updated 2 Bedroom 1 Bath,2br-1000ft-,800, Brackenridge
