title,size,price,nbrhood
"Top Floors of Beautiful House, Dog Friendly, Fenced Yard, Nov 1st","
                    3br -
                    1166ft, -
                ",$1098, (Regent Square - Frick Park)
Newly Remodeled Apartment with Private Yard,"
                    2br -
                    1400ft, -
                ",$1175,
Completely Renovated 3-Bedrooom in Highland Park/Morningside,"
                    3br -
                ",$1190, (Stanton Ave)
Beautiful 1-Bedroom Apartment,"
                    1br -
                ",$650," (25 W Chestnut St, Washington PA)"
3BR Townhouse in Squirrel Hill South - 2324 Murray Ave  - $1395,"
                    3br -
                    1558ft, -
                ",$1395, (2324 Murray Ave)
One bedroom Apartment,"
                    1br -
                ",$400, (Springdale)
++ FIXER UPPER HOME AVAILABLE & IS 1352 SQUARE FEET ++,"
                    3br -
                ",$513,
"****Washer & Dryer Included, Stainless Steel Appliances, Dog Park****","
                    2br -
                    1050ft, -
                ",$1360, (Moon Township)
New Pet Spa: Perfect for You and Your Furbaby,"
                    2br -
                    860ft, -
                ",$1295,
"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard","
                    2br -
                    1073ft, -
                ",$1075, (Regent Square - Frick Park)
2BR House in Mt. Oliver - 109 Frederick St  - $900,"
                    2br -
                ",$900, (109 Frederick St)
Newly updated Home Available in Butler~ Call NOW,"
                    3br -
                ",$825,
"Premium Single Bedroom, Near Shops & Restaurants, Dog Friendly, Oct 1","
                    1br -
                    700ft, -
                ",$859, (Regent Square - Frick Park)
"1 bedroom - Expansive Windows, Microwave, Demonstration Kitchen","
                    1br -
                    766ft, -
                ",$1545,
"Stainless Steel Appliances, Phones Answered 24 Hours a Day, Backsplash","
                    2br -
                    1000ft, -
                ",$1650,
2BR Apartment - 3408 Parkview Ave Unit 212 - $950,"
                    2br -
                ",$950, (3408 Parkview Ave Unit 212)
4BR House in Hazelwood - 137 Johnston Ave  - $1200,"
                    4br -
                    2540ft, -
                ",$1200, (137 Johnston Ave)
"Premium Single Bedroom, Near Shops & Restaurants, Dog Friendly, Oct 1","
                    1br -
                    700ft, -
                ",$859, (Regent Square - Frick Park)
"*****Resort Style Swimming Pool, Fireplace, Patios*****","
                    2br -
                    1050ft, -
                ",$1360, (Moon Township)
"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard","
                    2br -
                    1073ft, -
                ",$1075, (Regent Square - Frick Park)
